"","inoculum","outcome","n","ratio"
"1","sterilized+dead","E win",8,8e-04
"2","sterilized+dead","M win",7369,0.7369
"3","sterilized+dead","coexist",35,0.0035
"4","sterilized+dead","priority effect",2588,0.2588
"5","sterilized+living","E win",1761,0.1761
"6","sterilized+living","M win",955,0.0955
"7","sterilized+living","coexist",7029,0.7029
"8","sterilized+living","priority effect",255,0.0255
"9","unsterilized+dead","E win",5532,0.5532
"10","unsterilized+dead","M win",404,0.0404
"11","unsterilized+dead","coexist",3413,0.3413
"12","unsterilized+dead","priority effect",651,0.0651
"13","unsterilized+living","E win",7075,0.7075
"14","unsterilized+living","M win",28,0.0028
"15","unsterilized+living","coexist",2817,0.2817
"16","unsterilized+living","priority effect",80,0.008
